pollster,source_url,date_from,date_to,sample_size,ARTAUD,POUTOU,MELENCHON,ROUSSEL,RUFFIN,ROUSSEAU,TONDELIER,JADOT,GLUCKSMANN,HOLLANDE,FAURE,ATTAL,BAYROU,PHILIPPE,DARMANIN,LECORNU,RETAILLEAU,VILLEPIN,DUPONT_AIGNAN,BARDELLA,LE_PEN,KNAFO,ZEMMOUR
Elabe,https://elabe.fr/wp-content/uploads/2025/04/05042025_elabe_bfmtv_la-tribune-dimanche_les-francais-et-lelection-presidentielle.pdf,2025-04-02,2025-04-04,1413,0.5,2,9.5,5,,,4,,10.5,,,,,24,,,,,3,,33.5,,3.5
Elabe,https://elabe.fr/wp-content/uploads/2025/04/05042025_elabe_bfmtv_la-tribune-dimanche_les-francais-et-lelection-presidentielle.pdf,2025-04-02,2025-04-04,1413,1,2,10,6,,,5.5,,,5.5,,,,23.5,,,8,,3,,32,,3.5
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/avril/9913-pres-toluna-harris-interactive-rtl-1er-avril.pdf,2025-03-31,2025-03-31,1162,1,1,13,4,,,4,,,,5,,,25,,,,,2,36,,,5
Harris,https://www.commission-des-sondages.fr/notices/files/notices/2025/avril/9913-pres-toluna-harris-interactive-rtl-1er-avril.pdf,2025-03-31,2025-03-31,1162,1,1,13,4,,,4,,,,5,,,23,,,7.0,,2,35,,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2025/mars/9912-pres-ifop-jdd-30-mars-notice-pour-publication.pdf,2025-03-21,2025-03-26,1119,1,1,13,3,,,3,,,,5,,,21,,,11,,3,,34,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2025/mars/9912-pres-ifop-jdd-30-mars-notice-pour-publication.pdf,2025-03-21,2025-03-26,1119,1,1,13,2,,,3,,11,,,,,20,,,,,3,,35,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2025/mars/9912-pres-ifop-jdd-30-mars-notice-pour-publication.pdf,2025-03-21,2025-03-26,1119,1,1,12,4,,,3,,,,4,,,25,,,,,4,,36,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2025/mars/9912-pres-ifop-jdd-30-mars-notice-pour-publication.pdf,2025-03-21,2025-03-26,1119,1,1,13,4,,,3,,,,5,20,,,,,,,3,,37,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/decembre/9894-pdt-ifop-le-figaro-le-11-dec.pdf,2024-12-06,2024-12-09,1101,1,0.5,12,3,,,4.5,,,,5,20,,,,,,,3,,38,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/decembre/9894-pdt-ifop-le-figaro-le-11-dec.pdf,2024-12-06,2024-12-09,1101,0.5,0.5,12,3,,,4.5,,,,4,,,25,,,,,3.5,,36,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/decembre/9894-pdt-ifop-le-figaro-le-11-dec.pdf,2024-12-06,2024-12-09,1101,1,0.5,11,3,,,4,,,7.0,,,,24,,,,,3,,35,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/decembre/9894-pdt-ifop-le-figaro-le-11-dec.pdf,2024-12-06,2024-12-09,1101,1,0.5,12,3,,,5,,,,4,,,26,,,,,3.5,34,,,3
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,1,10,4,,1,,,14.0,,,,,26,,,,,,,35,,5
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,2,15,,,,,,,,,,,31,,,,,,,40,,4
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,1,10,3,,1,,,12,,,8,,23,,,,,,,34,,4
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,2,14.0,,,,,,,,,10,,25,,,,,,,38,,4
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,1,10,4,,1,,,14.0,,,,,28.0,,,,,,35,,,4
OpinionWay,https://www.challenges.fr/politique/presidentielle-2027-le-sondage-confidentiel-qui-a-de-quoi-inquieter-attal-et-melenchon_905503,2024-09-11,2024-09-12,1009,1,1,10,4,,1,,,14.0,,,,,27,,,,,,,36,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/septembre/9889-pdt-ifop-le-figaro-magazine-du-13-09-24.pdf,2024-09-06,2024-09-09,1204,1,1,10,6,,,5,,,7.0,,22,,,,,,,2,,35,,3
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/septembre/9889-pdt-ifop-le-figaro-magazine-du-13-09-24.pdf,2024-09-06,2024-09-09,1204,1,1,10,6,,,6,,,,4,24,,,,,,,2,,35,,3
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/septembre/9889-pdt-ifop-le-figaro-magazine-du-13-09-24.pdf,2024-09-06,2024-09-09,1204,0.5,1,9.5,5,,,5,,,8,,,,26,,,,,2,,34,,3
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/septembre/9889-pdt-ifop-le-figaro-magazine-du-13-09-24.pdf,2024-09-06,2024-09-09,1204,1,1.5,9,6,,,5,,,,4,,,27,,,,,2,,34,,3.5
Harris-Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2024/07/Rapport-Harris-IV-Presidentielle-2027-Challenges-Juillet-2024.pdf,2024-07-07,2024-07-08,2496,1,2,15,3,,,3,,14.0,,,20,,,,,,,2,,31,,4
Harris-Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2024/07/Rapport-Harris-IV-Presidentielle-2027-Challenges-Juillet-2024.pdf,2024-07-07,2024-07-08,2496,1,1,15,3,,,3,,14.0,,,,,22,,,,,2,,31,,3
Harris-Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2024/07/Rapport-Harris-IV-Presidentielle-2027-Challenges-Juillet-2024.pdf,2024-07-07,2024-07-08,2496,1,2,16,5,,,4,,,,6,23,,,,,,,2,,32,,4
Harris-Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2024/07/Rapport-Harris-IV-Presidentielle-2027-Challenges-Juillet-2024.pdf,2024-07-07,2024-07-08,2496,1,2,17,4,,,4,,,,5,,,24,,,,,2,,32,,4
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1,2,14.0,4,,,3,,,,4,20,,,,,,,2,,35,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1.5,1.5,13,4.5,,,2,,,,4.5,,,24,,,,,3,,34,,5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,2,1.5,15,6,,,3,,,,5.5,,,,12,,,,2,,36,,6.5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1.5,2,,5,7.0,,3,,,,3.5,,,25,,,,,2.5,,35,,6.5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1,2,12,5.5,,,,,,8,,,,24,,,,,2,,32,,6.5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1.5,1,13,5,,,2.5,,,,4,,,24,,,,,2,,33,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1,2,13,5,,,2,,,,3,22,,,,,,,2.5,30,,,9
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,1.5,0.5,14.0,4.5,,,2,,,,3,,,26,,,,,2,33,,,7.0
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/fevrier/9715-pdtielle-ifop-valeurs-actuelles-7-fevrier.pdf,2024-01-31,2024-02-01,1081,1.5,1.5,14.0,4,,,2,,,,2,22,,,,,,,2.5,,36,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/fevrier/9715-pdtielle-ifop-valeurs-actuelles-7-fevrier.pdf,2024-01-31,2024-02-01,1081,1.5,1.5,14.0,4.5,,,2.5,,,,2,,,22,,,,,2.5,,36,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/janvier/9710-pdt-ifop-jdd-15-01.pdf,2024-01-09,2024-01-10,1144,1,2,14.5,5,,,1,,,,4,24,,,,,,,3,28.0,,,9
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/janvier/9710-pdt-ifop-jdd-15-01.pdf,2024-01-09,2024-01-10,1144,0.5,1.5,15,6,,,1.5,,,,3.5,,,26,,,,,2.5,27,,,8
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/janvier/9710-pdt-ifop-jdd-15-01.pdf,2024-01-09,2024-01-10,1144,0.5,2,14.0,6.5,,,1.5,,,,3.5,23,,,,,,,2,,32,,6.5
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/janvier/9710-pdt-ifop-jdd-15-01.pdf,2024-01-09,2024-01-10,1144,0.5,1.5,13,6,,,2,,,,3,,,25,,,,,2,,33,,6.5
Ifop,https://www.lefigaro.fr/politique/presidentielle-2027-marine-le-pen-s-echappe-jean-luc-melenchon-recule-20231030,2023-10-24,2023-10-25,1084,1,2,14.0,6,,,1,,,,4,,,25,,,,,2,,31,,6.5
Ifop,https://www.lefigaro.fr/politique/presidentielle-2027-marine-le-pen-s-echappe-jean-luc-melenchon-recule-20231030,2023-10-24,2023-10-25,1084,1,1,14.0,6,,,2,,,,5,19,,,,,,,3,,33,,6
Ifop,https://www.lefigaro.fr/politique/presidentielle-2027-marine-le-pen-s-echappe-jean-luc-melenchon-recule-20231030,2023-10-24,2023-10-25,1084,1.5,1,15,7.0,,,2,,,,5.5,,,,,,,,2.5,,32,,6.5
Ifop,https://www.lefigaro.fr/politique/presidentielle-2027-marine-le-pen-s-echappe-jean-luc-melenchon-recule-20231030,2023-10-24,2023-10-25,1084,1.5,1.5,15,6,,,2,,,,6,,,,16,,,,2.5,,33,,7.0
Ifop,https://www.lefigaro.fr/politique/presidentielle-2027-marine-le-pen-s-echappe-jean-luc-melenchon-recule-20231030,2023-10-24,2023-10-25,1084,1.5,2,,7.5,7.0,,2,,,,4,,,26,,,,,3,,32,,6.5
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,5,,,,,,22,,,,,2,,30,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,5,,,,,,,,,,,2,,32,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,6,,,,,,,14.0,,,,2,,32,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,5,,,,7.0,,,,12,,,,,,,2,,32,,7.0
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,5,,,,,,,,,,,2,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,17,6,,,,6,,,,,,,,,,,2,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,6,,,,,8,,,,,,3,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,17,6,,,,7.0,,,,,,,,,,,3,,33,,6
OpinionWay,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9689-pres-ow-le-figaro-magazine.pdf,2023-04-12,2023-04-13,965,1,3,17,,,2,,,,,6,,,32,,,,,,23,,,9
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,16,4,,,,4,,,,,,24,,,,,2,,30,,7.0
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,18,5,,,,5,,,,,,,,,,,2,,32,,7.0
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,19,5,,,,5,,,,,,,10,,,,2,,33,,8
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,17,4,,,,4,,,,,,24,,,,,2,,31,,7.0
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,17,5,,,1,,,,3,,,26,,,,,2.5,,29.0,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,22,,,,,,,,,,,28.0,,,,,3,,31,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,20,6,,,1,,,,2,,,,,,,,3,,32,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,0.5,2.5,20,5,,,2,,,,3,,,,11,,,,4,,35,,7.0
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,1.5,20,6.5,,,1,,,,2,,9,,,,,,3,,36,,7.0
